"Line Number/
мНЛЕП КХМХХ";"Maximum Design Press Mpa g/
лЮЙЯ.ПЮЯВЕРМНЕ ДЮБКЕМХЕ,лоЮ ХГА  ";"Operating Press
Mpa g/
пЮАНВЕЕ ДЮБКЕМХЕ, лоЮ ХГА";"Fluid Medium Group and Pipeline Category per GOST 32569-2013 Tab 5.1
цПСООЮ ЯПЕДШ Х ЙЮРЕЦНПХЪ РПСАНОПНБНДЮ ЯНЦКЮЯМН РЮАКХЖЕ 5.1 цняр 32569-2013 ";"Radiograhic Test/ Ultrasonic Test %/
пЮДХНЦПЮТХВЕЯЙХИ ЙНМРПНКЭ/сКЭРПЮГБСЙНБНИ ЙНМРПНКЭ, %";Liquid penetrant / лagnetic particle test  % / йЮОХККЪПМШИ / ЛЮЦМХРНОНПНЬЙНБШИ ЙНМРПНКЭ %;"Positive Material Identification/
йНМРПНКЭ УХЛХВЕЯЙНЦН ЯНЯРЮБЮ ЛЮРЕПХЮКЮ";"Hardness Test/
хЯОШРЮМХЕ МЮ РБЕПДНЯРЭ"
1-60-901060;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901061;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901062;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901063;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901064;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901065;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901066;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901067;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901068;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901069;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901070;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901071;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901072;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901073;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901074;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901075;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901076;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901077;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901079;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901080;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901081;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901082;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901083;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901085;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901086;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901087;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901088;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901089;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901090;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901091;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901093;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901094;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901095;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901096;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901097;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901098;1.6;1.0 / 1.6;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901099;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901100;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901102;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901103;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901104;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901105;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901106;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901107;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901108;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901109;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901110;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901111;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901112;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901113;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901114;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901115;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901116;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901117;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901118;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901121;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901122;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901123;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901124;3.4;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901125;2.7;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901126;2.7;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901127;2.7;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901129;1.08;0.75;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901130;1.08;0.75;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901131;3.5;2.13;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901132;2.16;1.83;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901133;2.16;1.83;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901134;2.16;1.83;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901135;1.6;0.3;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901136;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901137;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901138;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901139;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901140;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901141;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901142;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901143;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901144;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901145;2.16;1.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901146;2.16;1.68;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901148;2.16;1.63;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901149;2.16;1.63;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901150;1.08;0.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901151;1.08;0.74;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901152;1.08;0.7;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901153;1.08;0.7;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901154;1.08;0.7;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901155;1.08;0.7;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901156;1.08;0.63;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901157;3.4;0.1;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901158;3.4;0.1;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901159;1.08;0.73;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901161;1.08;0.61;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901162;1.08;0.61;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901163;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901164;1.08;0.75;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901165;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901166;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901167;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
1-60-901168;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901169;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901170;1;0.7;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901171;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901172;1;0.6;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901173;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
1-60-901174;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901175;1;0.7;а(Ю)-I / B(a)-I;0.2;1;YES/дю;"N/A
м/о"
1-60-901186;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901187;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901188;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-901189;1;0.01;а(Ю)-I / B(a)-I;1;1;YES/дю;"N/A
м/о"
1-60-931001;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931002;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931003;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931004;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931006;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931008;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931009;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931010;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931011;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931012;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931013;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931014;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931015;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931016;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931017;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931018;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931020;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931021;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931022;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931024;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931027;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931028;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931029;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931030;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931032;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931033;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931034;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931035;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931037;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931038;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931039;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931040;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931041;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931042;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931044;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931045;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931046;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931047;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931048;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931049;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931050;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931051;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931052;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931053;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931054;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931056;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931057;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931058;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931059;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931060;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931061;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931062;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931063;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931064;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931065;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931066;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931067;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931076;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931078;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931079;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931080;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931082;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931083;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931088;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931090;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931091;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931092;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931093;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931094;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931095;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931096;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931097;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931098;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931099;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931101;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931103;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931104;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931105;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931106;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931107;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931108;2.5;1.6;"N/A
м/о";1;0;YES/дю;"N/A
м/о"
1-60-931109;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-931110;2.5;1.6;"N/A
м/о";1;0;NO/мер;"N/A
м/о"
1-60-941001;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941002;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941003;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941004;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941005;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941006;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941008;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941009;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941010;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941011;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941012;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941013;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941014;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941015;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941016;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941017;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941018;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941019;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941021;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941022;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941023;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941024;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941025;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941026;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941027;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941028;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941032;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941033;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941034;4;0.6;B-I / C-I;1;1;YES/дю;"N/A
м/о"
1-60-941035;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941036;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941037;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941038;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941039;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941040;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941041;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941042;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941043;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941044;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941045;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941046;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941047;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941048;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941049;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941050;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941051;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941052;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941053;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941054;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941055;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941056;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941057;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941058;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941060;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-941061;4;2.5 / 3.6;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951001;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951002;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951003;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951004;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951005;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951006;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951009;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951010;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951011;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951012;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951013;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951014;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951015;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951016;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951017;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951018;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951019;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951020;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951021;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951023;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951024;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951025;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-60-951026;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
1-60-951028;0.35;ATM;B-III / C-III;0.02;0;NO/мер;"N/A
м/о"
1-60-951029;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951030;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951031;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951032;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951033;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951034;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951035;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951036;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
1-60-951037;1;0.6 / 0.8;B-III / C-III;0.1;0;NO/мер;"N/A
м/о"
